Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123_dual_reversed,92,-62.5,180,top
D2,D,D_SOD-123_dual_reversed,111,-62.5,180,top
D3,D,D_SOD-123_dual_reversed,130,-62.5,180,top
D4,D,D_SOD-123_dual_reversed,149,-62.5,180,top
D5,D,D_SOD-123_dual_reversed,168,-62.5,180,top
D6,D,D_SOD-123_dual_reversed,187,-62.5,180,top
D7,D,D_SOD-123_dual_reversed,92,-81.5,180,top
D8,D,D_SOD-123_dual_reversed,111,-81.5,180,top
D9,D,D_SOD-123_dual_reversed,130,-81.5,180,top
D10,D,D_SOD-123_dual_reversed,149,-81.5,180,top
D11,D,D_SOD-123_dual_reversed,167.7306,-81.5,180,top
D12,D,D_SOD-123_dual_reversed,187,-81.5,180,top
D13,D,D_SOD-123_dual_reversed,92,-100.5,180,top
D14,D,D_SOD-123_dual_reversed,111,-100.5,180,top
D15,D,D_SOD-123_dual_reversed,130,-100.5,180,top
D16,D,D_SOD-123_dual_reversed,149,-100.5,180,top
D17,D,D_SOD-123_dual_reversed,168,-100.5,180,top
D18,D,D_SOD-123_dual_reversed,186.8984,-100.5,180,top
D19,D,D_SOD-123_dual_reversed,92,-119.5,180,top
D20,D,D_SOD-123_dual_reversed,111,-119.5,180,top
D21,D,D_SOD-123_dual_reversed,130,-119.5,180,top
D22,D,D_SOD-123_dual_reversed,149,-119.5,180,top
D23,D,D_SOD-123_dual_reversed,168,-119.5,180,top
D24,D,D_SOD-123_dual_reversed,187.0092,-119.5,180,top
D25,D,D_SOD-123_dual_reversed,205.983,-119.5,180,top
D26,D,D_SOD-123_dual_reversed,83.725,-127.4644,270,top
D27,D,D_SOD-123_dual_reversed,102.725,-127.4644,270,top
D28,D,D_SOD-123_dual_reversed,121.725,-127.4644,270,top
D29,D,D_SOD-123_dual_reversed,140.725,-127.4644,270,top
D30,D,D_SOD-123_dual_reversed,159.725,-127.4644,270,top
D31,D,D_SOD-123_dual_reversed,178.725,-127.4644,270,top
D32,D,D_SOD-123_dual_reversed,197.725,-127.4644,270,top
